ProgrammingLanguageName   RepoDescription SourceDescription   PairID
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-12    Zapisivanje u datoteku\n
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-13    Učitavanje iz datoteke\n
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-14    Transponiranje\n
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-15    Stvaranje jedinične matrice
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-16    Supstitucija unaprijed
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-17    Supstitucija unatrag
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-18    Pomoćna metoda za popunjivanje matrice iz liste
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-19    provjerava je li matrica vektor
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-20    Iz LU matrice očitava i vraća matricu U\n
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-21    Vrati permutirani vektor
C# https://github.com/studosi-fer/AIPR  https://github.com/studosi-fer/AIPR/blob/c62d409fb851ee4852f8a622e7bb48f89f125915/zadace/dz-4/2011-12/by_unknown/Matrica.cs mkovacevic-comment-22    Vraća inverz matrice ako postoji
C# https://github.com/vrana28/Kolokvijum2_Kviz_priprema  https://github.com/vrana28/Kolokvijum2_Kviz_priprema/blob/master/Kolokvijum2_priprema/Server.cs mkovacevic-comment-23    zahtev za prijavu
C# sparxMK/MojBroj(check name and owner again)  not recorded, check in repo :( mkovacevic-comment-24    restart aplikacije
C# sparxMK/MojBroj(check name and owner again)  not recorded, check in repo :( mkovacevic-comment-25    klik na
C# sparxMK/MojBroj(check name and owner again)  not recorded, check in repo :( mkovacevic-comment-26    klik na
C# sparxMK/MojBroj(check name and owner again)  not recorded, check in repo :( mkovacevic-comment-27    klik na
C# sparxMK/MojBroj(check name and owner again)  not recorded, check in repo :( mkovacevic-comment-28    klik na
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-29    \n Klasa koja predstavlja jedan element liste.\n
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-30    \n Konstruktor koji prima referencu na glavnu formu, broj u elementu,\n koordinate elementa i sirinu.\n \n
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-31    iscrtava element
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-32    animirano transliranje elementa odozgo udesno ulevo
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovaceivc-comment-33    animirano transliranje odozdo na levo desno
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-34    pomeranje elementa na date koordinate
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-35    \n Klasa koja predstavlja listu elemenata\n
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-36    daje x koordinatu elementa na osnovu indeksa u listi
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-37    postavlja nasumicne brojeve u elemente liste
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-38    iscrtava sve elemente liste
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-39    menja mesto dva elementa
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-40    jedan cvor u stablu
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-41    dodavanje elementa u stablo
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-42    rekurzivno dodavanje elementa u stablo
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-43    menja koordinata tako da pravi novu sortiranu listu od stabla
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-44    racuna x koordinatu na osnovu indeksa u listi
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-45    rekurzivni inorder algoritam
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-46    menja koordinate elementa i postavlja ga na odgovarajucu poziciju\n pravi stablo od liste
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-47    daje koordinate odredjenom elementu
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-48    iscrtava novo stanje forme
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-49    postavlja nasumicne brojeve u elemente liste
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-50    postavlja novu x koordinatu sredine ekrana kada forma promeni velicinu
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-51    izvrsava quicksort
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-52    izvrsava bubblesort
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-53    pravi novu listu na osnovu unosa korisnika
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-54    zaustavlja izvrsavanje trenutnog algoritma
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-55    zaustavlja niti koje rade kada se forma gasi
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-56    crta pivot ako postoji
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-57    crta I ako postoji
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-58    crta J ako postoji
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-59    zaustavlja niti koje trenutno rade
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-60    stampanje dokumentacije
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-61    korisnik se ulogovao kao obicni korisnik
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-62    korisnik se ulogovao kao gost
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-63    korisnik se ulogovao kao admin
C# hamzamuric/Sortiranje  not recorded, check in repo :( mkovacevic-comment-64    pomoc uputstvo za upotrebu
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-65    Ova klasa će mi služit za vježbanje async i await keyworda
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comemnt-66    Ova metoda vraća html element stranice čiju adresu proslijedimo u contructor u
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-67    Ova metoda asinhrono vraća html element stranice čiju adresu proslijedimo u constructor u
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-68    Ova metoda služi da mjerimo vrijeme između poziva GetHtmlAsync i da nam ispiše prvih 10 slova html elementa
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-69    Ova meotda služi da mjerimo vrijeme između poziva G i da na ispiše prvih 10 slova html elementa\n Vrijeme izvršavanja 0.5 sec\n
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-70    Ova klasa je vježba dynamic keyword a, trebala bi vratit bilo koju vrijednost koja joj se proslijedi
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-71    \n Ovdje vježbam evente sa EventHandler om\n
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-72    Ova klasa nam služi da imamo neki objekat koji možemo slati preko eventa
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-73    Ova klasa je publisher eventova. Ona poziva metode koje sadrži event VideoEncoded.\n Event je u principu samo delegat kao polje na klasi, koji kao parametre prima object i EventArgs.\n Možemo sami definisati delegat object source, EventArgs e ili možemo koristiti već definisane EventArgs i EventArgs T \n
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-74    Ova metoda poziva metodu koja poziva event, onVideoEncoded.
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-75    Ova metoda poziva event. Prvo provjerava ima li ijedan subsrciber metoda dodijeljena delegatu VideoEncoded i ako ima poziva VideoEncoded\n U parametre šalje this, trenutni objekat koji pizva VideoEncoded VideoEncoder , i VideoEventArgs inicijaliziran sa Video objektom\n
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-76    Ovo je klasa koja ima subscriber metodu\n Inicijaliziramo jedan objekat klase MailService i onda dodijelimo metodu MailService.OnVideoEncoded, objektu VideoEncoder property u VideoEncoded\n videoEncoderObjekat.VideoEncoded mailServiceObjekat.OnVideoEncoded \n Kada publisher VideoEncoder objekat pozove svoju OnVideoEncoded metodu pozvat će se OnVideoEncoded metoda subscribera MailService
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-77    Možemo i sami derive ati svoju EventArgs, od EventArgs a, klasu i dodati joj polja koja želimo, kao što se može vidjet ispod\n U ovom slučaju smo dodali property Video i koristimo ga da prikažemo titlove video objekta\n
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-78    Ovaj custom exception kao parametre prima string sa porukom greške i Exception objekat koji sadrži pravi razlog problema\n Zamisao ovoga je da korisniku pošaljemu neku generičnu poruku, dok bi developer kroz innnerException znao pravi razlog\n
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comemnt-79    Ova metoda treba da iščita datoteku iz adrese koja se nalazi u string u adress, u slučaju da to nije moguće ispiše exception Message i throw a ga\n
C# StefanBalaban/DotNet  not recorded, check in repo :( mkovacevic-comment-80    Ova metoda prima broj i ako nije 5 throw a novi Exception sa porukom problema\n Catch dio throw a custom exception ExceptionalException i kao parametar, innerException šalje prvi exception
C# StefanBalaban/Testiranje  not recorded, check in repo :( mkovacevic-comment-81    Da bi testirali return tip neke metode koja vraća podklasu od tipa definisanog u potpisu\n Treba nam jedna bazna klasa i jedna ili više podklasa\n Ja ću definisati klasu Automobil kao baznu klasu\n A Mercedes i Volkswagen kao podklase\n
C# StefanBalaban/Testiranje  not recorded, check in repo :( mkovacevic-comemnt-82    Ova podklasa služi da testiramo Is.InsanceOf metod na Volkwagen klasi
C# kameleon00/Delegati2  not recorded, check in repo :( mkovacevic-comment-83    Kreirati klasu BazaKnjga koja u svom konstruktoru inicijalizuje listu knjiga. Ima metode \n • void dodajKnjigu Knjiga k , koja dodaje knjigu u listu,\n • void formiranjeUkupneCene Knjiga k , koja uvećava broj njiga i sabira cenu prosleđene knjige\n • decimal srednjaCena , racuna srednju cenu knjiga\n Pored ovih metode definisati i dve metode koje kao parametar imaju DelegatObradeKnjige\n • void knjigeSaTvrdimPovezom DelegatObradeKnjige processBook \n • void sveKnjige DelegatObradeKnjige processBook \n\n
C# kameleon00/Delegati2  not recorded, check in repo :( mkovacevic-comment-84    dodaje knjigu u listu
C# kameleon00/Delegati2  not recorded, check in repo :( mkovacevic-comment-85    uvećava broj njiga i sabira cenu prosleđene knjige
C# kameleon00/Delegati2  not recorded, check in repo :( mkovacevic-comment-86    racuna srednju cenu knjiga
C# kameleon00/Delegati2  not recorded, check in repo :( mkovacevic-comment-87    0000\n 0000\n Pored ovih metode definisati i dve metode koje kao parametar imaju DelegatObradeKnjige \n 0000\n 0000
C# kameleon00/Delegati2  not recorded, check in repo :( mkovacevic-comment-88    Poziv delegata za svaku knjigu da bi je obradio
C# kameleon00/Delegati2  not recorded, check in repo :( mkovacevic-comment-89    Klasa za testiranje knjige u bazi
C# kameleon00/Delegati2  not recorded, check in repo :( mkovacevic-comment-90    Izvršavanje počinje ovde.
C# stankela/bilten  not recorded, check in repo :( mkovacevic-comment-91    Klasa koja moze da cuva ceo datum ili samo godinu
C# stankela/bilten  not recorded, check in repo :( mkovacevic-comment-92    NOTE Operator onako kako je implementiran u klasi Object \n ne poziva metod Equals. Da bi koriscenje operatora dovelo do poziva\n metoda Equals potrebno je eksplicitno implementirati operator i u njemu\n pozivati Equals.
C# stankela/bilten  not recorded, check in repo :( mkovacevic-comemnt-93    deep copies part of the graph\n virtual je zbog proxy podrske za NHibernate
C# stankela/bilten  not recorded, check in repo :( mkovaceivc-comment-94    shallow copy\n virtual je zbog proxy podrske za NHibernate
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Ghosts.cs mkovacevic-comment-95    Nadklasa za sva 4 duha.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Ghosts.cs mkovacevic-comment-96    Resetira duha na početak i duh čeka određeno vrijeme prije nego što se počne kretati.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Ghosts.cs mkovacevic-comment-97    Poziva se kada pacman pojede super kolačić. Duh prelazi u stanje bježanja na duration milisekundi.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Ghosts.cs mkovacevic-comment-98    Promjeni izgled duha u njegovu standardnu formu kada lovi pacmana.\n Ne radi ništa ako duh bježi.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Ghosts.cs mkovacevic-comment-99    Ovom metodom se duhu javlja da je pojedana trula jagoda.\n
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Ghosts.cs mkovacevic-comment-100    Ovaj duh pokušava doći do pozicije 4 mjesta ispred pacmana.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Ghosts.cs mkovacevic-comment-101    Ovaj duh se pokušava pozicionirati tako da je\n pacman od prilike između njega i crvenog duha.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Ghosts.cs mkovacevic-comment-102    Ovaj duh lovi pacmanovu trenutnu poziciju dok god je\n pacman za više od 8 polja udaljen od pacmana.\n Inače bježi u red 100 i stupac 100.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Form1.cs mkovacevic-comment-103    Funkcija koje osigurava da glavna forma prepoznaje inpute strjelica
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Form1.cs mkovacevic-comment-104    Pomoćna funkcija.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Form1.cs mkovacevic-comment-105    Trajanje superKolaća, 7 sekundi na levelu 1, 0 sekundi na levelu 21 i dalje.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Fruits.cs mkovacevic-comment-106    Početne koordinate voća su 0, 0 postavljaju se u\n movableCharacter konstruktoru . Ta pozicija\n također označava da voće trenutno nije na ekranu.\n
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Fruits.cs mkovacevic-comment-107    Je li voće trenutno na ekranu.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Fruits.cs mkovacevic-comment-108    Voće se pojavljuje se na koordinatama i, j .\n
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Fruits.cs mkovacevic-comment-109    Voće se smije pojaviti na kvadratima na kojima nije\n zid i neko drugo voće.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Fruits.cs mkovacevic-comment-110    Zlatna jabuka ne može biti trula.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Pacman.cs mkovacevic-comment-111    Resetiranje Pacmana.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Pacman.cs mkovacevic-comment-112    Ovu metodu poziva duh nakon što pojede pacmana.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Pacman.cs mkovacevic-comment-113    Dodavanje života.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Pacman.cs mkovacevic-comment-114    Ovu metodu poziva duh nakon što ga pacman pojede.\n Duh se prije poziva ove metode vraća u kuću.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Pacman.cs mkovacevic-comment-115    \n Dio vezan za implementaciju voća.\n \n Javljanje da je pojedena trula trešnja
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/Pacman.cs mkovacevic-comment-116    Javljanje da je pojedena trula kruška.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/movableCharacter.cs mkovacevic-comment-117    Konstruktor.
C# https://github.com/0shade0/RP3  https://github.com/0shade0/RP3/blob/3a373d699553f8ee88c3b57e504059e94549160d/Pacman/movableCharacter.cs mkovacevic-comment-118    Povećavanje i smanjivanje brzine za 33 .
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/EditorForm.cs mkovacevic-comment-119    event handler za dogadjaj FormClosing dogadjaj koji se desava uvek kada\n se pokusa da se zatvori prozor, bilo pritiskom na dugme X , bilo pozi \n vom metoda prozora Close
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/EditorForm.cs mkovacevic-comment-120    event handler za dogadjaj Click stavke menija mnSave
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/EditorForm.cs mkovacevic-comment-121    event handler za dogadjaj Click stavke menija mnGridDots\n
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/EditorPresenter.cs mkovacevic-comment-122    funkcija koja snima semu i vraca vrednost True ako je snimanje uspesno\n snimanje moze da bude neuspesno jedino u slucaju da sema nije prethodno\n bila snimljena i da korisnik u dijalogu SaveAs koji se poziva iz pro \n cedure SaveAs pritisne Cancel \n
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/EditorPresenter.cs mkovacevic-comment-123    funkcija koja snima semu pod novim imenom i vraca vrednost True ako je\n snimanje uspesno snimanje moze da bude neuspesno jedino u slucaju da\n korisnik u dijalogu SaveAs pritisne Cancel
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/EditorPresenter.cs mkovacevic-comment-124    funkcija koja se poziva kada korisnik zavrsava rad sa trenutnom semom\n bilo da zavrsava rad sa programom, bilo da otvara neku drugu semu ili\n pocinje rad na novoj semi a postoje izmene koje nisu snimljene u tom\n slucaju funkcija vraca True ako korisnik izabere da snimi Yes ili da ne\n snimi No promene, a vraca vrednost False jedino ako korisnik pritisne\n Cancel cime korisnik signalizira da odustaje od zapocete operacije i da\n zeli da i dalje radi u postojecoj semi
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/EditorPresenter.cs mkovacevic-comment-125    Vraca marginu izmedju leve ivice panela seme i najblize linije grida
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-126    ako postoji jedna selektovana veza, vraca tu vezu inace vraca vezu\n koja je najbliza tacki x, y .
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-127    proverava na koji je nacin veza koja se u datom cvoru nalazi u smeru\n SmerVeze povezana sa ostatkom seme preko tog cvora .\n OdrziKontakt je True ako u cvoru postoji jos neka veza ili pin \n ako je OdrziKontakt True, JednaSusVeza je True ako postoji samo jedna\n susedna veza i nijedan pin, i u tom slucaju SmerSusVeze daje smer te veze
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-128    kreira vezu tako da joj je pocetak ispred kraja posmatrano u pravcu veze ,\n i zatim je spaja za odgovarajuce cvorove
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-129    vraca pin kola sa identifikatorom Id ako pin ne postoji, vraca null.
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-130    ne radi ispravno ako blok ne moze ceo da stane u semu voditi o ovome\n racuna kod rotiranja, gde ova situacija moze da se desi ako se rotira\n velik blok
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-131    dodaje Objekt u Blok, i azurira Pocetak i Kraj tj. GoreLevo i DoleDesno \n ako je Objekt izvan granica
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-132    spaja veze koje se nadovezuju jedna na drugu, i vraca novostvorenu vezu
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-133    kreira cvor na mestu Polozaj i vraca ga kao rezultat podrazumeva se\n da je prethodno provereno da na mestu Polozaj ne postoji cvor, a u\n funkciji se dodatno proverava da li se Polozaj nalazi unutar neke veze
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-134    vraca vezu koja prolazi kroz tacku tacanPolozaj u pravcu pravac\n pri trazenju veze ne uzima u obzir krajeve veze ako veza ne postoji,\n vraca null
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-135    deli vezu Veza na dva dela dve veze kreiranjem cvora na mestu Polozaj,\n i vraca cvor kao rezultat
C# https://github.com/stankela/Editor  https://github.com/stankela/Editor/blob/05ec1fc9b9b08494ce4f0a80bdb6e656d2a4b644/Editor/Sema.cs mkovacevic-comment-136    pravi cvor na mestu ukrstanja dve veze, i vraca ga kao rezultat \n od dve veze pravi cetiri
